연번,기준일자,시군구명,사고빈발 및 위험지역(지점),상세위치,장소구분,사고유형,출동횟수,사망,중상,경상,개선의견,경도,위도
54,2021.3.30,기장군,부산광역시 기장군 기장읍 내리 부울고속도로 일대,"해운대IC내리막, 우커브 구간",도로,교통,3,0,0,3,1. VMS 활용 하이패스 차로 사전 안내 2. 1차로 및 4차로 하이패스 차로 논네온 조명 설치,129.2355563,35.28487444
55,2021.3.30,기장군,부산광역시 기장군 일광면 화전리 부울고속도로 일대,기장IC 장안방향 오르막구간,도로,교통,4,0,0,4,1. 도로상태 자동알림 VMS 설치 * 노면 온도/습도 센서 이용 교통안전 문구 VMS 표출,129.2291957,35.28224427
56,2021.3.30,기장군,부산광역시 기장군 일광면 화전리 부울고속도로 일대,기장IC 교량-터널-교량-터널 구간,도로,교통,1,0,0,1,"1. 집수정 정비  2. 이동식 과속카메라 이설, 모형경찰차 설치, 노면 재포장 등",129.2291957,35.28224427
57,2021.6.28,영도구,"부산광역시 영도구 청학동 330-59, 청학동 330-76 등",부산항대교 영도진입램프 주변,바다,수난,4,2,0,2,인명구조함 설치,129.0604246,35.0929475
58,2021.7.27,영도구,부산광역시 영도구 동삼동 1052,태종대 감지해변,바다,수난,11,1,0,2,인명구조함 시설 유지관리,129.0727575,35.0749911
59,2021.7.27,영도구,부산광역시 영도구 동삼동 산19-3,태종대 곤포유람선 선착장,바다,수난,3,0,0,2,인명구조함 시설 유지관리,129.0727575,35.0749911
60,2022.5.31,동래구,부산광역시 동래구 우장춘로 117,부산119안전체험관 일원,도로,수난,1,3,0,0,교통사고 예방을 위한 중앙분리대 설치,129.0872327,35.2036981
61,2022.3.10,영도구,부산광역시 영도구 동삼동 1126-9,동삼해수천,하천,수난,3,0,0,2,울타리(체인로프) 등 안전시설물 신규설치,129.0727575,35.0749911
62,2022.8.30,북구,부산광역시 북구 화명동 ,대동화명대교,다리,자살추정,29,5,0,0,CCTV 추가설치 및 안전펜스 보강 등,129.0198816,35.23714952
63,2022.7.13,기장군,부산광역시 기장군 달음산,"달음산, 옥녀봉 등산로 부근 등",산,산악,11,0,2,18,등산로 및 옥녀붕 부근 안전시설물 신설 및 개선,129.2133031,35.29197733
64,2022.9.22,사하구,부산광역시 사하구 감천동 산66-9,감천동 옥녀봉 근처 임도,산악,산악,10,0,2,8,산악 안전시설물 신규 설치(산길 손잡이용 안전로프),129.0065494,35.09080228
65,2022.8.22,해운대구,부산광역시 해운대구 반여동 산4-20,장산 정상부,산,산악,10,0,1,9,미끄럼방지 발판 및 추락방지 울타리 설치,129.1248996,35.20361497
66,2022.10.1,부산진구,부산광역시 부산진구 전포동 888,문전지하차도 내 곡선 구간,도로,교통,2,0,0,2,"문전지하차도 내 곡선 구간 교통상황을 볼 수 있는 카메라, 거울 등 설치",129.0687779,35.15725181
67,2022.10.14,금정구,부산광역시 금정구 장전동 124-22,장전초등학교 ,도로,교통,2,0,0,2,무단횡단 방지 및 차량 불법유턴 방지차원에서의 안전시설물 설치 요청,129.0827149,35.2413713
68,2022.10.5,강서구,부산광역시 강서구 천성동,112번지 일대(천성IC 회전교차로 일원),도로,교통,2,0,0,2,토사유출 방지벽 설치 요청,128.8226697,35.03120985
69,2022.10.11,남구,부산광역시 남구 용호동 이기대,이기대 수변공원 농바위 하부,해변,추락,1,1,0,0,안전로프 설치 등 요청,129.1121922,35.11735257
70,2022.8.26,서구,부산광역시 서구 남부민동 523-62,남부민동 공동 어시장 방파제 길 일대,방파제,수난,2,0,0,2,방파제 테트라포트 및  인근 수난사고 예방위한 펜스 등 설치,129.0263663,35.08990578
